raw_name,canonical_name,source
Barnstable,Barnstable,ALL
Bourne,Bourne,ALL
Brewster,Brewster,ALL
Chatham,Chatham,ALL
Dennis,Dennis,ALL
Eastham,Eastham,ALL
Falmouth,Falmouth,ALL
Harwich,Harwich,ALL
Mashpee,Mashpee,ALL
Orleans,Orleans,ALL
Provincetown,Provincetown,ALL
Sandwich,Sandwich,ALL
Truro,Truro,ALL
Wellfleet,Wellfleet,ALL
Yarmouth,Yarmouth,ALL
East Sandwich,Sandwich,DOR
Sagamore Beach,Bourne,DOR
Buzzards Bay,Bourne,DOR
Pocasset,Bourne,DOR
Cataumet,Bourne,DOR
Monument Beach,Bourne,DOR
North Chatham,Chatham,DOR
South Chatham,Chatham,DOR
West Chatham,Chatham,DOR
W Chatham,Chatham,DOR
W. Chatham,Chatham,DOR
So.Chatham,Chatham,DOR
Souyh Chatham,Chatham,DOR
East Dennis,Dennis,DOR
West Dennis,Dennis,DOR
South Dennis,Dennis,DOR
E Dennis,Dennis,DOR
E. Dennis,Dennis,DOR
W Dennis,Dennis,DOR
Dennis Port,Dennis,DOR
East Dennnis,Dennis,DOR
orth Eastham,Eastham,DOR
N Eastham,Eastham,DOR
N. Eastham,Eastham,DOR
Eastham MA,Eastham,DOR
North Esatham,Eastham,DOR
Teaticket,Falmouth,DOR
Waquoit,Falmouth,DOR
East Falmouth,Falmouth,DOR
E Falmouth,Falmouth,DOR
N. Falmouth,Falmouth,DOR
N.Falmouth,Falmouth,DOR
Falmounth,Falmouth,DOR
South Harwich,Harwich,DOR
So. Harwich,Harwich,DOR
Popponesset,Mashpee,DOR
East Orleans,Orleans,DOR
South Orleans,Orleans,DOR
E Orleans,Orleans,DOR
E. Orleans,Orleans,DOR
No Truro,Truro,DOR
Norht Truro,Truro,DOR
"N\, Truro",Truro,DOR
Cummaquid,Barnstable,DOR
Hyannisport,Barnstable,DOR
Hyannis Port,Barnstable,DOR
West Hyannisport,Barnstable,DOR
W Hyannisport,Barnstable,DOR
W. Hyannisport,Barnstable,DOR
West Hyannis Port,Barnstable,DOR
Sagamore,Bourne,DOR
Poacasset,Bourne,DOR
S Dennis,Dennis,DOR
East  Dennis,Dennis,DOR
Dennis Post,Dennis,DOR
North Eastham,Eastham,DOR
"N, Truro",Truro,DOR
N.Truro,Truro,DOR
South Wellflet,Wellfleet,DOR
So Wellfleet,Wellfleet,DOR
So. Wellfleet,Wellfleet,DOR
S.Yarmouth,Yarmouth,DOR
Forestdale,Sandwich,DOR
North Truro,Truro,DOR
South Truro,Truro,DOR
N Truro,Truro,DOR
N. Truro,Truro,DOR
South Wellfleet,Wellfleet,DOR
S Wellfleet,Wellfleet,DOR
S. Wellfleet,Wellfleet,DOR
Yarmouth Port,Yarmouth,DOR
Yarmouthport,Yarmouth,DOR
S Yarmouth,Yarmouth,DOR
S. Yarmouth,Yarmouth,DOR
Sandwhich, Sandwich, DOR
Turo, Truro, DOR
Trur0, Truro, DOR
Truto, Truro, DOR
Welfleet, Wellfleet, DOR
Wellfeet, Wellfleet, DOR
Hyannis,Barnstable,DOR
Centerville,Barnstable,DOR
Osterville,Barnstable,DOR
Cotuit,Barnstable,DOR
Marstons Mills,Barnstable,DOR
West Barnstable,Barnstable,DOR
Barnstable County,Barnstable,CENSUS
P-Town,Provincetown,AIRBNB
Ptown,Provincetown,AIRBNB
East Falmouth,Falmouth,PARCELS
North Falmouth,Falmouth,PARCELS
West Falmouth,Falmouth,PARCELS
Woods Hole,Falmouth,PARCELS
South Yarmouth,Yarmouth,PARCELS
West Yarmouth,Yarmouth,PARCELS
Yarmouthport,Yarmouth,PARCELS
South Dennis,Dennis,PARCELS
East Dennis,Dennis,PARCELS
West Dennis,Dennis,PARCELS
Dennis Port,Dennis,PARCELS
Dennisport,Dennis,PARCELS
North Harwich,Harwich,PARCELS
Harwich Port,Harwich,PARCELS
Harwichport,Harwich,PARCELS
West Harwich,Harwich,PARCELS
East Harwich,Harwich,PARCELS
